-1002144411908,,,,math,0,
-1002138816000,,,,math,0,
-1002137396310,,,,math,0,
-1002135189455,,,,math,0,
-1002107823771,,,,math,0,
-1002107022424,,,,reCAPTCHA,,
-1002102357213,,,,reCAPTCHA,,
-1002086247897,,,,reCAPTCHA,,
-1002033123651,,,,math,0,
-1001949165489,,,,reCAPTCHA,,
-1001937027629,kick,,,,,
-1001936702298,,,,reCAPTCHA,,
-1001936679261,,,,math,0,
-1001930876231,,,120,reCAPTCHA,0,
-1001922399328,ban,ban,,reCAPTCHA,1,
-1001920270302,,,,reCAPTCHA,,
-1001916491207,,,180,reCAPTCHA,1,
-1001914776663,,,,reCAPTCHA,,
-1001905211152,ban,ban,,math,,
-1001905085561,,,,reCAPTCHA,,
-1001895251828,,,,math,,
-1001858285848,,,,,1,
-1001792915836,,,,reCAPTCHA,,
-1001792390145,kick,kick,300,math,0,0
-1001789930613,kick,kick,60,reCAPTCHA,1,
-1001734588048,kick,kick,300,reCAPTCHA,,
-1001701564888,,,,reCAPTCHA,,
-1001657017168,kick,,,math,,
-1001642962379,kick,ban,120,reCAPTCHA,,
-1001636852206,kick,kick,,,0,
-1001632297573,,,,reCAPTCHA,,
-1001621979226,,,,reCAPTCHA,,
-1001591737523,,,,reCAPTCHA,0,
-1001578379517,,,120,reCAPTCHA,0,
-1001574247038,,,,reCAPTCHA,0,
-1001568392182,kick,ban,90,math,1,
-1001517367960,,,,reCAPTCHA,,
-1001513616407,ban,ban,,reCAPTCHA,1,
-1001512811481,kick,kick,300,math,1,
-1001502675110,kick,kick,,reCAPTCHA,,
-1001492599569,ban,ban,120,reCAPTCHA,,
-1001468185604,ban,kick,30,reCAPTCHA,1,
-1001456684898,,,,reCAPTCHA,,
-1001451692145,ban,ban,600,reCAPTCHA,0,
-1001421166040,,,,reCAPTCHA,,
-1001403093489,,,,reCAPTCHA,,
-1001394696618,,,,reCAPTCHA,,
-1001389109564,kick,kick,,,,
-1001373262336,kick,kick,60,math,1,
-1001356999586,,,,reCAPTCHA,,
-1001345985581,,,,reCAPTCHA,,
-1001344033202,kick,kick,180,reCAPTCHA,1,
-1001319963692,,,,reCAPTCHA,,
-1001305409733,kick,kick,60,reCAPTCHA,1,
-1001301896268,kick,kick,60,reCAPTCHA,,
-1001272712788,kick,kick,120,reCAPTCHA,1,1
-1001254745529,,,,reCAPTCHA,,
-1001230212108,,,,reCAPTCHA,,
-1001223131307,kick,kick,,math,1,
-1001184560799,,,,reCAPTCHA,,
-1001182661803,ban,ban,60,reCAPTCHA,1,
-1001171692014,,,,reCAPTCHA,,
-1001068176444,,kick,,math,,